Date,Open,High,Low,Close,Adj Close,Volume
2018-08-10,31.120001,32.400002,30.559999,30.900000,30.900000,1650300
2018-08-13,30.860001,32.200001,30.660000,31.690001,31.690001,1780000
2018-08-14,31.610001,33.799999,31.610001,33.509998,33.509998,2985200
2018-08-15,33.270000,34.199001,31.969999,33.029999,33.029999,1998000
2018-08-16,33.000000,35.049999,32.370998,33.910000,33.910000,2437200
2018-08-17,33.910000,34.860001,33.158001,33.880001,33.880001,3730200
2018-08-20,34.650002,36.230000,34.119999,35.959999,35.959999,2833300
2018-08-21,36.180000,36.919998,35.540001,35.930000,35.930000,2586700
2018-08-22,35.750000,38.400002,35.750000,38.040001,38.040001,3813000
2018-08-23,38.200001,39.750000,38.012001,38.610001,38.610001,3364500
2018-08-24,39.700001,40.040001,36.310001,38.369999,38.369999,4580000
2018-08-27,38.500000,41.970001,38.500000,41.400002,41.400002,4089100
2018-08-28,41.500000,42.430000,40.009998,40.590000,40.590000,2854000
2018-08-29,40.570000,42.270000,40.570000,40.930000,40.930000,2518200
2018-08-30,41.500000,44.580002,40.959999,44.049999,44.049999,3121400
2018-08-31,44.400002,46.900002,44.347000,45.689999,45.689999,4029000
2018-09-04,46.799999,47.099998,44.830002,46.570000,46.570000,3170100
2018-09-05,46.869999,47.400002,40.590000,44.639999,44.639999,5323700
2018-09-06,45.279999,45.589001,42.000000,44.220001,44.220001,2751300
2018-09-07,43.639999,46.630001,43.110001,45.180000,45.180000,2871800
2018-09-10,45.849998,46.570000,44.400002,46.000000,46.000000,2542700
2018-09-11,45.709999,47.200001,45.299999,46.590000,46.590000,2188700
2018-09-12,46.259998,48.700001,45.369999,48.619999,48.619999,3245700
2018-09-13,49.270000,52.549999,49.189999,51.169998,51.169998,4085600
2018-09-14,48.779999,48.840000,46.000000,47.630001,47.630001,5191900
2018-09-17,47.849998,48.430000,38.500000,40.180000,40.180000,10178000
2018-09-18,39.029999,42.480000,35.220001,42.360001,42.360001,11597100
2018-09-19,42.340000,42.869999,38.570000,39.950001,39.950001,4359400
2018-09-20,41.147999,44.200001,41.000000,43.180000,43.180000,5240400
2018-09-21,43.450001,45.209999,42.880001,43.619999,43.619999,5823500
2018-09-24,42.639999,44.580002,41.180000,44.529999,44.529999,3094600
2018-09-25,45.540001,48.980000,45.162998,47.840000,47.840000,6809200
2018-09-26,48.480000,49.470001,45.099998,46.270000,46.270000,4119600
2018-09-27,46.220001,47.000000,42.220001,42.790001,42.790001,5568300
2018-09-28,42.049999,44.201000,41.599998,42.840000,42.840000,2750200
2018-10-01,42.840000,43.250000,38.270000,38.570000,38.570000,5118100
2018-10-02,37.060001,38.500000,35.490002,35.639999,35.639999,5090400
2018-10-03,36.590000,36.738998,34.189999,35.830002,35.830002,3125400
2018-10-04,34.970001,36.290001,34.340000,35.029999,35.029999,1966200
2018-10-05,34.939999,37.535999,34.599998,36.849998,36.849998,2912200
2018-10-08,35.720001,36.549999,33.090000,34.720001,34.720001,3081700
2018-10-09,34.419998,35.869999,34.110001,34.970001,34.970001,1542100
2018-10-10,34.820000,35.150002,32.009998,32.779999,32.779999,3454700
2018-10-11,31.209999,34.950001,30.750000,34.340000,34.340000,2714800
2018-10-12,35.849998,36.560001,34.610001,36.130001,36.130001,2313600
2018-10-15,37.750000,38.889999,35.599998,36.270000,36.270000,3170100
2018-10-16,36.259998,38.980000,36.009998,38.770000,38.770000,2069200
2018-10-17,38.750000,40.430000,38.299999,40.189999,40.189999,1749800
2018-10-18,40.119999,40.369999,38.259998,38.590000,38.590000,1473100
2018-10-19,38.990002,39.500000,35.509998,36.119999,36.119999,1940200
2018-10-22,36.720001,37.730000,35.509998,36.509998,36.509998,1524900
2018-10-23,34.750000,36.880001,32.980000,36.490002,36.490002,1393900
2018-10-24,36.270000,37.689999,33.939999,34.020000,34.020000,1400300
2018-10-25,34.029999,35.639999,33.240002,34.849998,34.849998,1517800
2018-10-26,33.840000,34.840000,32.290001,33.360001,33.360001,1478500
2018-10-29,34.000000,35.270000,32.799999,33.520000,33.520000,1466700
2018-10-30,33.200001,34.740002,32.351002,34.689999,34.689999,1251000
2018-10-31,35.299999,37.889999,35.029999,37.610001,37.610001,2211400
2018-11-01,37.810001,40.880001,36.650002,40.650002,40.650002,3496200
2018-11-02,41.520000,44.099998,37.700001,39.990002,39.990002,4091700
2018-11-05,39.570000,39.570000,36.221001,37.880001,37.880001,1864000
2018-11-06,37.570000,38.203999,36.200001,36.799999,36.799999,1134800
2018-11-07,37.000000,39.990002,36.049999,39.560001,39.560001,1936000
2018-11-08,39.439999,40.535999,37.910000,39.090000,39.090000,1326800
2018-11-09,38.330002,39.076000,37.000000,37.189999,37.189999,1062800
2018-11-12,37.040001,37.150002,32.509998,32.709999,32.709999,1862600
2018-11-13,33.490002,34.439999,31.520000,32.000000,32.000000,1704600
2018-11-14,32.000000,32.500000,30.080000,31.350000,31.350000,1614700
2018-11-15,31.010000,33.430000,31.010000,33.119999,33.119999,1464300
2018-11-16,32.349998,34.549999,31.605000,33.490002,33.490002,1058300
2018-11-19,33.180000,33.630001,29.100000,30.040001,30.040001,1964200
2018-11-20,26.750000,30.490000,26.400000,28.450001,28.450001,2075000
2018-11-21,30.379999,33.660000,30.320000,32.630001,32.630001,2884400
2018-11-23,32.040001,33.786999,31.603001,32.099998,32.099998,828700
2018-11-26,32.720001,34.000000,32.130001,33.830002,33.830002,1076100
2018-11-27,33.410000,33.759998,32.410000,33.290001,33.290001,780900
2018-11-28,33.220001,35.740002,32.595001,35.599998,35.599998,1333900
2018-11-29,35.270000,37.025002,34.549999,36.790001,36.790001,1327300
2018-11-30,36.540001,36.970001,35.119999,36.820000,36.820000,1991800
2018-12-03,38.459999,39.167999,37.080002,38.279999,38.279999,1594100
2018-12-04,37.950001,38.189999,34.000000,35.250000,35.250000,1681500
2018-12-06,33.320000,35.320000,32.630001,35.119999,35.119999,1361600
2018-12-07,35.180000,35.959999,32.959999,33.490002,33.490002,1209800
2018-12-10,33.380001,35.480000,33.189999,35.180000,35.180000,1506100
2018-12-11,36.000000,38.169998,35.500000,36.450001,36.450001,1726500
2018-12-12,37.380001,38.570000,36.709999,37.139999,37.139999,1276900
2018-12-13,37.540001,38.180000,35.900002,36.070000,36.070000,1089100
2018-12-14,35.459999,36.889999,34.599998,35.349998,35.349998,902800
2018-12-17,34.980000,35.143002,32.029999,33.470001,33.470001,1438200
2018-12-18,33.639999,34.299999,33.070000,34.060001,34.060001,1206300
2018-12-19,34.189999,35.250000,32.049999,32.779999,32.779999,1548700
2018-12-20,32.439999,33.049999,29.433001,31.610001,31.610001,1939400
2018-12-21,31.549999,32.549999,30.709999,31.520000,31.520000,1785400
2018-12-24,30.219999,32.459999,29.990000,32.110001,32.110001,844700
2018-12-26,32.430000,36.520000,32.340000,36.470001,36.470001,1289100
2018-12-27,35.619999,36.289001,33.380001,35.830002,35.830002,1295900
2018-12-28,35.759998,37.880001,35.310001,37.310001,37.310001,1250100
2018-12-31,37.799999,38.889999,36.889999,37.970001,37.970001,1005900
2019-01-02,36.619999,36.869999,32.779999,34.000000,34.000000,4258000
2019-01-03,33.090000,33.700001,32.000000,32.250000,32.250000,1272100
2019-01-04,32.869999,35.529999,32.869999,34.709999,34.709999,2232500
2019-01-07,35.770000,37.700001,35.099998,36.889999,36.889999,1572000
2019-01-08,37.500000,40.150002,36.799999,40.000000,40.000000,2450100
2019-01-09,40.119999,42.290001,40.110001,40.639999,40.639999,2169600
2019-01-10,39.919998,43.983002,39.680000,42.200001,42.200001,2848300
2019-01-11,42.189999,42.869999,40.410000,42.500000,42.500000,1469800
2019-01-14,41.669998,42.287998,40.730999,41.220001,41.220001,947100
2019-01-15,41.520000,43.804001,41.110001,43.020000,43.020000,1586300
2019-01-16,42.820000,44.680000,42.230000,43.959999,43.959999,1321600
2019-01-17,43.770000,44.959999,42.900002,44.299999,44.299999,1045100
2019-01-18,44.450001,44.650002,42.529999,43.549999,43.549999,1254600
2019-01-22,42.689999,43.401001,41.599998,42.410000,42.410000,1357800
2019-01-23,42.599998,43.213001,40.730000,42.169998,42.169998,850000
2019-01-24,42.480000,44.009998,42.049999,43.820000,43.820000,1140600
2019-01-25,43.970001,46.000000,43.970001,44.430000,44.430000,1538100
2019-01-28,43.930000,44.290001,42.201000,42.400002,42.400002,949100
2019-01-29,42.439999,42.779999,41.139999,41.450001,41.450001,788200
2019-01-30,41.970001,43.400002,41.209999,43.240002,43.240002,892200
2019-01-31,43.220001,45.299999,43.110001,43.480000,43.480000,1047300
2019-02-01,43.549999,44.139999,42.450001,42.490002,42.490002,980700
2019-02-04,42.450001,43.599998,41.580002,42.959999,42.959999,883300
2019-02-05,43.180000,43.905998,42.759998,43.509998,43.509998,889700
2019-02-06,43.680000,44.099998,41.709999,42.000000,42.000000,787900
2019-02-07,41.580002,42.209999,40.459999,41.709999,41.709999,1115300
2019-02-08,41.209999,42.855000,40.785999,42.290001,42.290001,692800
2019-02-11,42.500000,44.900002,42.500000,44.369999,44.369999,1277700
2019-02-12,44.740002,49.000000,44.740002,46.450001,46.450001,3552600
2019-02-13,47.000000,47.259998,44.450001,46.220001,46.220001,1508900
2019-02-14,46.139999,50.000000,45.610001,49.279999,49.279999,2709100
2019-02-15,50.080002,52.029999,50.070000,51.500000,51.500000,2239500
2019-02-19,51.720001,51.770000,49.200001,50.220001,50.220001,1659500
2019-02-20,50.200001,50.980000,48.630001,49.000000,49.000000,1201300
2019-02-21,49.209999,49.750000,47.645000,49.070000,49.070000,1222100
2019-02-22,49.169998,49.799999,48.119999,48.320000,48.320000,1759800
2019-02-25,49.029999,49.330002,47.970001,48.360001,48.360001,1525100
2019-02-26,48.049999,49.849998,47.360001,49.410000,49.410000,3281200
2019-02-27,60.799999,66.349998,60.160000,61.860001,61.860001,12814300
2019-02-28,61.500000,66.889999,60.849998,65.570000,65.570000,3421700
2019-03-01,66.690002,70.650002,66.550003,69.239998,69.239998,4337800
2019-03-04,68.480003,68.489998,62.235001,64.470001,64.470001,4276300
2019-03-05,64.769997,68.250000,63.020000,67.059998,67.059998,2038700
2019-03-06,66.959999,66.959999,60.709999,63.380001,63.380001,3509000
2019-03-07,63.250000,64.230003,61.340000,61.779999,61.779999,1780400
2019-03-08,62.020000,64.900002,61.779999,64.519997,64.519997,2150000
2019-03-11,64.540001,65.870003,63.299999,65.279999,65.279999,1900900
2019-03-12,65.290001,69.250000,65.029999,69.230003,69.230003,2182000
2019-03-13,69.559998,74.370003,68.680000,71.419998,71.419998,4741600
2019-03-14,71.559998,72.800003,70.389999,71.970001,71.970001,1962000
2019-03-15,72.120003,74.750000,71.449997,73.150002,73.150002,2085800
2019-03-18,73.500000,73.980003,68.529999,71.309998,71.309998,2480700
2019-03-19,71.379997,72.320000,69.769997,71.949997,71.949997,1512000
2019-03-20,71.660004,73.600998,70.500999,71.680000,71.680000,1360800
2019-03-21,71.419998,74.809998,71.300003,73.559998,73.559998,1833600
2019-03-22,73.500000,74.769997,68.690002,68.760002,68.760002,2147000
2019-03-25,68.230003,70.000000,67.570000,69.139999,69.139999,1289700
2019-03-26,70.449997,70.669998,67.949997,68.860001,68.860001,955600
2019-03-27,68.900002,69.470001,61.389999,63.000000,63.000000,3486900
2019-03-28,63.490002,65.370003,61.119999,63.759998,63.759998,1558500
2019-03-29,64.550003,64.904999,63.000000,63.500000,63.500000,1288500
2019-04-01,64.300003,65.105003,59.410000,59.869999,59.869999,2464800
2019-04-02,59.709999,63.099998,59.250000,62.849998,62.849998,2516900
2019-04-03,63.049999,63.848999,59.849998,61.950001,61.950001,2202800
2019-04-04,62.099998,62.849998,60.330002,62.369999,62.369999,1213800
